اسم الخدمة,RAG_Content,القطاع,خطوات الخدمة,المستندات المطلوبة,سعر الخدمة,رابط الخدمة
تأشيرة الخروج النهائي (فترة التجربة),"المستندات المطلوبة: أن يكون العامل في فترة التجربة (90 يوماً)، عدم إصدار إقامة له بعد، عدم وجود مخالفات.
رسوم الخدمة: مجانية
الرابط الرسمي: https://my.gov.sa/ar/services/484600",الجوازات,1. الدخول لأبشر (أفراد أو أعمال);2. خدمات العمالة;3. تأشيرة الخروج النهائي;4. اختيار العامل خلال فترة التجربة.,أن يكون العامل في فترة التجربة (90 يوماً)، عدم إصدار إقامة له بعد، عدم وجود مخالفات.,مجانية,https://my.gov.sa/ar/services/484600
تصريح السفر الاستثنائي,"اسم الخدمة: تصريح السفر الاستثنائي
القطاع: وزارة الداخلية
الفئة المستهدفة: أفراد
وصف الخدمة: طلب الحصول على تصريح سفر للخارج في الحالات الاستثنائية التي تقرها الجهات المختصة.
خطوات الخدمة: 1. الدخول لأبشر;2. خدماتي ثم الجوازات;3. مركز الرسائل والطلبات;4. طلب تصريح سفر استثنائي وإرفاق المبررات.
المستندات المطلوبة: وجود مبررات قوية (مرض، دراسة، مهام رسمية)، إرفاق الوثائق الداعمة.
رسوم الخدمة: مجانية",وزارة الداخلية,1. الدخول لأبشر;2. خدماتي ثم الجوازات;3. مركز الرسائل والطلبات;4. طلب تصريح سفر استثنائي وإرفاق المبررات.,وجود مبررات قوية (مرض، دراسة، مهام رسمية)، إرفاق الوثائق الداعمة.,مجانية,https://my.gov.sa/ar/services/538808
تصريح السفر الاستثنائي,"رسوم الخدمة: مجانية
الرابط الرسمي: https://my.gov.sa/ar/services/538808",وزارة الداخلية,1. الدخول لأبشر;2. خدماتي ثم الجوازات;3. مركز الرسائل والطلبات;4. طلب تصريح سفر استثنائي وإرفاق المبررات.,وجود مبررات قوية (مرض، دراسة، مهام رسمية)، إرفاق الوثائق الداعمة.,مجانية,https://my.gov.sa/ar/services/538808
استعلام عن صلاحية التأمين الطبي,"اسم الخدمة: استعلام عن صلاحية التأمين الطبي
القطاع: وزارة الداخلية
الفئة المستهدفة: أفراد (مقيمين)
وصف الخدمة: خدمة تتيح التأكد من وجود تأمين طبي ساري المفعول للمقيمين، وهو شرط أساسي لتجديد الإقامة.
خطوات الخدمة: 1. الدخول لأبشر;2. استعلامات;3. الاستعلام عن صلاحية التأمين الطبي للمقيمين;4. إدخال رقم الإقامة والرمز المرئي.
المستندات المطلوبة: توفر رقم الإقامة.
رسوم الخدمة: مجانية",وزارة الداخلية,1. الدخول لأبشر;2. استعلامات;3. الاستعلام عن صلاحية التأمين الطبي للمقيمين;4. إدخال رقم الإقامة والرمز المرئي.,توفر رقم الإقامة.,مجانية,https://my.gov.sa/ar/services/538811
استعلام عن صلاحية التأمين الطبي,"رسوم الخدمة: مجانية
الرابط الرسمي: https://my.gov.sa/ar/services/538811",وزارة الداخلية,1. الدخول لأبشر;2. استعلامات;3. الاستعلام عن صلاحية التأمين الطبي للمقيمين;4. إدخال رقم الإقامة والرمز المرئي.,توفر رقم الإقامة.,مجانية,https://my.gov.sa/ar/services/538811
أبشر سفر,"اسم الخدمة: أبشر سفر
القطاع: وزارة الداخلية
الفئة المستهدفة: أفراد
وصف الخدمة: تجهيز إجراءات السفر والتحقق من المتطلبات قبل الوصول للمنافذ البرية لتقليل وقت الانتظار.
خطوات الخدمة: 1. الدخول لتطبيق أبشر;2. اختيار أبشر سفر;3. تحديد المنفذ والمسافرين;4. تأكيد الطلب قبل الوصول للمنفذ.
المستندات المطلوبة: وجود جواز سفر ساري، تأمين سفر (إن لزم)، تنفيذ الطلب قبل الوصول للمنفذ بفترة وجيزة.",وزارة الداخلية,1. الدخول لتطبيق أبشر;2. اختيار أبشر سفر;3. تحديد المنفذ والمسافرين;4. تأكيد الطلب قبل الوصول للمنفذ.,وجود جواز سفر ساري، تأمين سفر (إن لزم)، تنفيذ الطلب قبل الوصول للمنفذ بفترة وجيزة.,مجانية,https://my.gov.sa/ar/services/538814
أبشر سفر,"رسوم الخدمة: مجانية
الرابط الرسمي: https://my.gov.sa/ar/services/538814",وزارة الداخلية,1. الدخول لتطبيق أبشر;2. اختيار أبشر سفر;3. تحديد المنفذ والمسافرين;4. تأكيد الطلب قبل الوصول للمنفذ.,وجود جواز سفر ساري، تأمين سفر (إن لزم)، تنفيذ الطلب قبل الوصول للمنفذ بفترة وجيزة.,مجانية,https://my.gov.sa/ar/services/538814
تعديل المهنة (أبشر أعمال),"اسم الخدمة: تعديل المهنة (أبشر أعمال)
القطاع: الجوازات
الفئة المستهدفة: قطاع الأعمال
وصف الخدمة: تمكن صاحب المنشأة من تعديل المسمى الوظيفي للعاملين لديه إلكترونياً بعد موافقة الجهات المختصة.
خطوات الخدمة: 1. الدخول لأبشر أعمال;2. اختيار خدمات أعمالي;3. اختيار تعديل المهنة;4. اختيار العامل وإدخال المهنة الجديدة والتأكيد.",الجوازات,1. الدخول لأبشر أعمال;2. اختيار خدمات أعمالي;3. اختيار تعديل المهنة;4. اختيار العامل وإدخال المهنة الجديدة والتأكيد.,موافقة وزارة الموارد البشرية، سداد الرسوم، عدم وجود مخالفات مرورية.,1000 ريال,https://my.gov.sa/ar/services/487331
تعديل المهنة (أبشر أعمال),"المستندات المطلوبة: موافقة وزارة الموارد البشرية، سداد الرسوم، عدم وجود مخالفات مرورية.
رسوم الخدمة: 1000 ريال
الرابط الرسمي: https://my.gov.sa/ar/services/487331",الجوازات,1. الدخول لأبشر أعمال;2. اختيار خدمات أعمالي;3. اختيار تعديل المهنة;4. اختيار العامل وإدخال المهنة الجديدة والتأكيد.,موافقة وزارة الموارد البشرية، سداد الرسوم، عدم وجود مخالفات مرورية.,1000 ريال,https://my.gov.sa/ar/services/487331
الهوية الرقمية,"اسم الخدمة: الهوية الرقمية
القطاع: وزارة الداخلية
الفئة المستهدفة: أفراد
وصف الخدمة: نسخة رقمية آمنة للهوية الوطنية أو هوية مقيم عبر تطبيق أبشر تغني عن حمل الوثيقة المادية.
خطوات الخدمة: 1. تحميل تطبيق أبشر;2. تسجيل الدخول;3. اختيار خدماتي ثم الهوية الرقمية;4. تفعيل الهوية على الجهاز.
المستندات المطلوبة: حساب مفعل في أبشر، تطبيق أبشر على هاتف ذكي.
رسوم الخدمة: مجانية",وزارة الداخلية,1. تحميل تطبيق أبشر;2. تسجيل الدخول;3. اختيار خدماتي ثم الهوية الرقمية;4. تفعيل الهوية على الجهاز.,حساب مفعل في أبشر، تطبيق أبشر على هاتف ذكي.,مجانية,https://my.gov.sa/ar/services/538785
الهوية الرقمية,"رسوم الخدمة: مجانية
الرابط الرسمي: https://my.gov.sa/ar/services/538785",وزارة الداخلية,1. تحميل تطبيق أبشر;2. تسجيل الدخول;3. اختيار خدماتي ثم الهوية الرقمية;4. تفعيل الهوية على الجهاز.,حساب مفعل في أبشر، تطبيق أبشر على هاتف ذكي.,مجانية,https://my.gov.sa/ar/services/538785
الاستعلام عن أحقية القيام بالحج,"اسم الخدمة: الاستعلام عن أحقية القيام بالحج
القطاع: وزارة الداخلية
الفئة المستهدفة: أفراد
وصف الخدمة: استعلام فوري يمكن المواطن والمقيم من معرفة أهليته لأداء فريضة الحج وفقاً لنظام (مرة كل 5 سنوات).
خطوات الخدمة: 1. الدخول لأبشر;2. استعلامات ثم خدمات الحج;3. الاستعلام عن أحقية الحج;4. إدخال رقم الهوية.
المستندات المطلوبة: توفر رقم الهوية/الإقامة.
رسوم الخدمة: مجانية",وزارة الداخلية,1. الدخول لأبشر;2. استعلامات ثم خدمات الحج;3. الاستعلام عن أحقية الحج;4. إدخال رقم الهوية.,توفر رقم الهوية/الإقامة.,مجانية,https://my.gov.sa/ar/services/538742
الاستعلام عن أحقية القيام بالحج,"رسوم الخدمة: مجانية
الرابط الرسمي: https://my.gov.sa/ar/services/538742",وزارة الداخلية,1. الدخول لأبشر;2. استعلامات ثم خدمات الحج;3. الاستعلام عن أحقية الحج;4. إدخال رقم الهوية.,توفر رقم الهوية/الإقامة.,مجانية,https://my.gov.sa/ar/services/538742
الاستعلام عن سجل السفر,"اسم الخدمة: الاستعلام عن سجل السفر
القطاع: الجوازات
الفئة المستهدفة: أفراد
وصف الخدمة: تتيح للمستفيد استعراض تفاصيل جميع رحلات السفر الدولية (مغادرة وقدوم) المسجلة باسمه.
خطوات الخدمة: 1. الدخول لأبشر;2. استعلامات ثم الجوازات;3. الاستعلام عن سجل السفر;4. تحديد الفترة الزمنية والاستعراض.
المستندات المطلوبة: حساب مفعل في أبشر.
رسوم الخدمة: مجانية
الرابط الرسمي: https://my.gov.sa/ar/services/538708",الجوازات,1. الدخول لأبشر;2. استعلامات ثم الجوازات;3. الاستعلام عن سجل السفر;4. تحديد الفترة الزمنية والاستعراض.,حساب مفعل في أبشر.,مجانية,https://my.gov.sa/ar/services/538708
الاستعلام عن المخالفات (غير المسددة),"اسم الخدمة: الاستعلام عن المخالفات (غير المسددة)
القطاع: المرور
الفئة المستهدفة: أفراد وأعمال
وصف الخدمة: خدمة تتيح استعراض تفاصيل كافة المخالفات المرورية المسجلة على الهوية أو المركبة والتي لم تسدد بعد.
خطوات الخدمة: 1. الدخول لأبشر;2. استعلامات ثم المرور;3. الاستعلام عن المخالفات غير المسددة;4. استعراض التفاصيل والمواقع.
المستندات المطلوبة: توفر رقم الهوية أو رقم المخالفة.",المرور,1. الدخول لأبشر;2. استعلامات ثم المرور;3. الاستعلام عن المخالفات غير المسددة;4. استعراض التفاصيل والمواقع.,توفر رقم الهوية أو رقم المخالفة.,مجانية (للاستعلام),https://my.gov.sa/ar/services/538690
الاستعلام عن المخالفات (غير المسددة),"رسوم الخدمة: مجانية (للاستعلام)
الرابط الرسمي: https://my.gov.sa/ar/services/538690",المرور,1. الدخول لأبشر;2. استعلامات ثم المرور;3. الاستعلام عن المخالفات غير المسددة;4. استعراض التفاصيل والمواقع.,توفر رقم الهوية أو رقم المخالفة.,مجانية (للاستعلام),https://my.gov.sa/ar/services/538690
الاستعلام عن المركبات المحجوزة,"اسم الخدمة: الاستعلام عن المركبات المحجوزة
القطاع: المرور
الفئة المستهدفة: أفراد
وصف الخدمة: تمكن مالك المركبة من معرفة مكان حجز مركبته في حال تم سحبها أو حجزها من قبل المرور.
خطوات الخدمة: 1. الدخول لأبشر;2. استعلامات ثم المرور;3. الاستعلام عن المركبات المحجوزة;4. عرض اسم الحجز وموقعه.
المستندات المطلوبة: ملكية المركبة المسجلة في النظام.
رسوم الخدمة: مجانية",المرور,1. الدخول لأبشر;2. استعلامات ثم المرور;3. الاستعلام عن المركبات المحجوزة;4. عرض اسم الحجز وموقعه.,ملكية المركبة المسجلة في النظام.,مجانية,https://my.gov.sa/ar/services/538693
الاستعلام عن المركبات المحجوزة,"رسوم الخدمة: مجانية
الرابط الرسمي: https://my.gov.sa/ar/services/538693",المرور,1. الدخول لأبشر;2. استعلامات ثم المرور;3. الاستعلام عن المركبات المحجوزة;4. عرض اسم الحجز وموقعه.,ملكية المركبة المسجلة في النظام.,مجانية,https://my.gov.sa/ar/services/538693
الاستعلام عن وثيقة تأمين المركبة,"اسم الخدمة: الاستعلام عن وثيقة تأمين المركبة
القطاع: المرور
الفئة المستهدفة: أفراد
وصف الخدمة: التأكد من سريان وصلاحية وثيقة التأمين على المركبة المسجلة في سجلات وزارة الداخلية.
خطوات الخدمة: 1. الدخول لأبشر;2. استعلامات ثم المرور;3. الاستعلام عن وثيقة تأمين مركبة;4. إدخال رقم اللوحة والهوية.
المستندات المطلوبة: توفر رقم الهوية ورقم اللوحة.
رسوم الخدمة: مجانية",المرور,1. الدخول لأبشر;2. استعلامات ثم المرور;3. الاستعلام عن وثيقة تأمين مركبة;4. إدخال رقم اللوحة والهوية.,توفر رقم الهوية ورقم اللوحة.,مجانية,https://my.gov.sa/ar/services/538696
الاستعلام عن وثيقة تأمين المركبة,"رسوم الخدمة: مجانية
الرابط الرسمي: https://my.gov.sa/ar/services/538696",المرور,1. الدخول لأبشر;2. استعلامات ثم المرور;3. الاستعلام عن وثيقة تأمين مركبة;4. إدخال رقم اللوحة والهوية.,توفر رقم الهوية ورقم اللوحة.,مجانية,https://my.gov.sa/ar/services/538696
تفويض مراجعة قطاع,"اسم الخدمة: تفويض مراجعة قطاع
القطاع: وزارة الداخلية
الفئة المستهدفة: أفراد
وصف الخدمة: تمكن المستفيد من تفويض شخص آخر لمراجعة أحد قطاعات الوزارة (جوازات، أحوال) لإنهاء معاملة محددة.
خطوات الخدمة: 1. الدخول لأبشر;2. اختيار التفاويض;3. تفويض مراجعة قطاع;4. اختيار القطاع ونوع الخدمة وبيانات المفوض له.
المستندات المطلوبة: تسجيل الطرفين في أبشر، تحديد الخدمة بدقة.
رسوم الخدمة: مجانية",وزارة الداخلية,1. الدخول لأبشر;2. اختيار التفاويض;3. تفويض مراجعة قطاع;4. اختيار القطاع ونوع الخدمة وبيانات المفوض له.,تسجيل الطرفين في أبشر، تحديد الخدمة بدقة.,مجانية,https://my.gov.sa/ar/services/538669
تفويض مراجعة قطاع,"رسوم الخدمة: مجانية
الرابط الرسمي: https://my.gov.sa/ar/services/538669",وزارة الداخلية,1. الدخول لأبشر;2. اختيار التفاويض;3. تفويض مراجعة قطاع;4. اختيار القطاع ونوع الخدمة وبيانات المفوض له.,تسجيل الطرفين في أبشر، تحديد الخدمة بدقة.,مجانية,https://my.gov.sa/ar/services/538669
الاستعلام عن معلومات الاستقدام,"اسم الخدمة: الاستعلام عن معلومات الاستقدام
القطاع: الجوازات
الفئة المستهدفة: أفراد
وصف الخدمة: تتيح للمستفيد الاستعلام عن الطلبات المقدمة لاستقدام أفراد الأسرة أو العمالة وحالة الطلب.
خطوات الخدمة: 1. الدخول لأبشر;2. استعلامات ثم الجوازات;3. الاستعلام عن معلومات الاستقدام;4. إدخال رقم الطلب أو الهوية.
المستندات المطلوبة: وجود طلب استقدام سابق.
رسوم الخدمة: مجانية",الجوازات,1. الدخول لأبشر;2. استعلامات ثم الجوازات;3. الاستعلام عن معلومات الاستقدام;4. إدخال رقم الطلب أو الهوية.,وجود طلب استقدام سابق.,مجانية,https://my.gov.sa/ar/services/538630
الاستعلام عن معلومات الاستقدام,"رسوم الخدمة: مجانية
الرابط الرسمي: https://my.gov.sa/ar/services/538630",الجوازات,1. الدخول لأبشر;2. استعلامات ثم الجوازات;3. الاستعلام عن معلومات الاستقدام;4. إدخال رقم الطلب أو الهوية.,وجود طلب استقدام سابق.,مجانية,https://my.gov.sa/ar/services/538630
تمديد تأشيرة خروج وعودة (خارج المملكة),"اسم الخدمة: تمديد تأشيرة خروج وعودة (خارج المملكة)
القطاع: الجوازات
الفئة المستهدفة: أفراد وأعمال
وصف الخدمة: تمكن أصحاب العمل ورب الأسرة من تمديد صلاحية التأشيرة لمن هم خارج المملكة إلكترونياً.
خطوات الخدمة: 1. الدخول لأبشر;2. خدمات التأشيرات;3. اختيار الشخص (خارج المملكة);4. طلب تمديد التأشيرة وسداد الرسوم.
المستندات المطلوبة: سريان الإقامة (أكثر من 90 يوماً)، سداد رسوم التمديد عبر سداد.",الجوازات,1. الدخول لأبشر;2. خدمات التأشيرات;3. اختيار الشخص (خارج المملكة);4. طلب تمديد التأشيرة وسداد الرسوم.,سريان الإقامة (أكثر من 90 يوماً)، سداد رسوم التمديد عبر سداد.,100 ريال (للمفردة),https://my.gov.sa/ar/services/538672
تمديد تأشيرة خروج وعودة (خارج المملكة),"رسوم الخدمة: 100 ريال (للمفردة)
الرابط الرسمي: https://my.gov.sa/ar/services/538672",الجوازات,1. الدخول لأبشر;2. خدمات التأشيرات;3. اختيار الشخص (خارج المملكة);4. طلب تمديد التأشيرة وسداد الرسوم.,سريان الإقامة (أكثر من 90 يوماً)، سداد رسوم التمديد عبر سداد.,100 ريال (للمفردة),https://my.gov.sa/ar/services/538672
الاستعلام عن التأشيرات (برقم التأشيرة),"اسم الخدمة: الاستعلام عن التأشيرات (برقم التأشيرة)
القطاع: الجوازات
الفئة المستهدفة: أفراد
وصف الخدمة: خدمة استعلامية مفتوحة للتحقق من صحة وصلاحية أي تأشيرة صادرة من الجوازات.
خطوات الخدمة: 1. الدخول لمنصة أبشر (عام);2. استعلامات;3. الاستعلام عن التأشيرات;4. إدخال رقم التأشيرة ورقم الإقامة.
المستندات المطلوبة: توفر رقم التأشيرة ورقم الهوية.
رسوم الخدمة: مجانية",الجوازات,1. الدخول لمنصة أبشر (عام);2. استعلامات;3. الاستعلام عن التأشيرات;4. إدخال رقم التأشيرة ورقم الإقامة.,توفر رقم التأشيرة ورقم الهوية.,مجانية,https://my.gov.sa/ar/services/538633
الاستعلام عن التأشيرات (برقم التأشيرة),"رسوم الخدمة: مجانية
الرابط الرسمي: https://my.gov.sa/ar/services/538633",الجوازات,1. الدخول لمنصة أبشر (عام);2. استعلامات;3. الاستعلام عن التأشيرات;4. إدخال رقم التأشيرة ورقم الإقامة.,توفر رقم التأشيرة ورقم الهوية.,مجانية,https://my.gov.sa/ar/services/538633
تحديث بيانات الجواز (نقل معلومات),"اسم الخدمة: تحديث بيانات الجواز (نقل معلومات)
القطاع: الجوازات
الفئة المستهدفة: أفراد (أصحاب عمل)
وصف الخدمة: تمكن من تحديث بيانات جواز السفر الجديد للمقيم (أفراد أسرة أو عمالة) وربطها بالهوية آلياً.
خطوات الخدمة: 1. الدخول لأبشر;2. خدماتي ثم الجوازات;3. تحديث بيانات جواز سفر المقيمين;4. إدخال بيانات الجواز الجديد والتأكيد.",الجوازات,1. الدخول لأبشر;2. خدماتي ثم الجوازات;3. تحديث بيانات جواز سفر المقيمين;4. إدخال بيانات الجواز الجديد والتأكيد.,وجود المقيم داخل المملكة، ألا يكون الجواز القديم مفقوداً.,مجانية,https://my.gov.sa/ar/services/538675
تحديث بيانات الجواز (نقل معلومات),"المستندات المطلوبة: وجود المقيم داخل المملكة، ألا يكون الجواز القديم مفقوداً.
رسوم الخدمة: مجانية
الرابط الرسمي: https://my.gov.sa/ar/services/538675",الجوازات,1. الدخول لأبشر;2. خدماتي ثم الجوازات;3. تحديث بيانات جواز سفر المقيمين;4. إدخال بيانات الجواز الجديد والتأكيد.,وجود المقيم داخل المملكة، ألا يكون الجواز القديم مفقوداً.,مجانية,https://my.gov.sa/ar/services/538675
تقرير مقيم,"اسم الخدمة: تقرير مقيم
القطاع: الجوازات
الفئة المستهدفة: أفراد وأعمال
وصف الخدمة: إصدار تقرير رسمي مفصل يحتوي على البيانات الشخصية والتأشيرات والتابعين للمقيم لتقديمه للجهات الرسمية.
خطوات الخدمة: 1. الدخول لأبشر;2. الخدمات العامة;3. تقارير أبشر;4. طلب تقرير مقيم وسداد الرسوم;5. عرض وتحميل التقرير.
المستندات المطلوبة: سداد المقابل المالي للتقرير، حساب أبشر فعال.
رسوم الخدمة: 100 ريال",الجوازات,1. الدخول لأبشر;2. الخدمات العامة;3. تقارير أبشر;4. طلب تقرير مقيم وسداد الرسوم;5. عرض وتحميل التقرير.,سداد المقابل المالي للتقرير، حساب أبشر فعال.,100 ريال,https://my.gov.sa/ar/services/538678
تقرير مقيم,"رسوم الخدمة: 100 ريال
الرابط الرسمي: https://my.gov.sa/ar/services/538678",الجوازات,1. الدخول لأبشر;2. الخدمات العامة;3. تقارير أبشر;4. طلب تقرير مقيم وسداد الرسوم;5. عرض وتحميل التقرير.,سداد المقابل المالي للتقرير، حساب أبشر فعال.,100 ريال,https://my.gov.sa/ar/services/538678
الاستعلام عن وصول العمالة,"اسم الخدمة: الاستعلام عن وصول العمالة
القطاع: الجوازات
الفئة المستهدفة: أفراد (أصحاب عمل)
وصف الخدمة: تتيح لصاحب العمل معرفة ما إذا كان العامل الجديد قد دخل أراضي المملكة عبر المنافذ أم لا.
خطوات الخدمة: 1. الدخول لأبشر;2. استعلامات ثم الجوازات;3. الاستعلام عن وصول العمالة;4. إدخال رقم الحدود أو رقم الهوية.
المستندات المطلوبة: توفر رقم الحدود للعامل الجديد.
رسوم الخدمة: مجانية",الجوازات,1. الدخول لأبشر;2. استعلامات ثم الجوازات;3. الاستعلام عن وصول العمالة;4. إدخال رقم الحدود أو رقم الهوية.,توفر رقم الحدود للعامل الجديد.,مجانية,https://my.gov.sa/ar/services/538651
الاستعلام عن وصول العمالة,"رسوم الخدمة: مجانية
الرابط الرسمي: https://my.gov.sa/ar/services/538651",الجوازات,1. الدخول لأبشر;2. استعلامات ثم الجوازات;3. الاستعلام عن وصول العمالة;4. إدخال رقم الحدود أو رقم الهوية.,توفر رقم الحدود للعامل الجديد.,مجانية,https://my.gov.sa/ar/services/538651
الاستعلام عن رقم سداد رسوم الاستقدام,"اسم الخدمة: الاستعلام عن رقم سداد رسوم الاستقدام
القطاع: الجوازات
الفئة المستهدفة: أفراد
وصف الخدمة: تمكن المستفيد من استخراج الرقم المرجعي لسداد رسوم طلبات الاستقدام عبر القنوات البنكية.
خطوات الخدمة: 1. الدخول لأبشر;2. استعلامات ثم الجوازات;3. رقم سداد رسوم الاستقدام;4. عرض الرقم المرجعي.
المستندات المطلوبة: وجود طلب استقدام قائم.
رسوم الخدمة: مجانية (للاستعلام)",الجوازات,1. الدخول لأبشر;2. استعلامات ثم الجوازات;3. رقم سداد رسوم الاستقدام;4. عرض الرقم المرجعي.,وجود طلب استقدام قائم.,مجانية (للاستعلام),https://my.gov.sa/ar/services/538654
الاستعلام عن رقم سداد رسوم الاستقدام,"رسوم الخدمة: مجانية (للاستعلام)
الرابط الرسمي: https://my.gov.sa/ar/services/538654",الجوازات,1. الدخول لأبشر;2. استعلامات ثم الجوازات;3. رقم سداد رسوم الاستقدام;4. عرض الرقم المرجعي.,وجود طلب استقدام قائم.,مجانية (للاستعلام),https://my.gov.sa/ar/services/538654
استعلام عن صلاحية التأشيرة,"اسم الخدمة: استعلام عن صلاحية التأشيرة
القطاع: الجوازات
الفئة المستهدفة: أفراد
وصف الخدمة: خدمة تتيح للمقيمين والزوار التأكد من سريان مفعول تأشيرة الخروج والعودة أو التأشيرة النهائية.
خطوات الخدمة: 1. الدخول لمنصة أبشر;2. استعلامات الجوازات;3. صلاحية التأشيرة;4. إدخال رقم الإقامة ورقم التأشيرة.
المستندات المطلوبة: توفر رقم الإقامة ورقم التأشيرة أو الجواز.
رسوم الخدمة: مجانية",الجوازات,1. الدخول لمنصة أبشر;2. استعلامات الجوازات;3. صلاحية التأشيرة;4. إدخال رقم الإقامة ورقم التأشيرة.,توفر رقم الإقامة ورقم التأشيرة أو الجواز.,مجانية,https://my.gov.sa/ar/services/538657
استعلام عن صلاحية التأشيرة,"رسوم الخدمة: مجانية
الرابط الرسمي: https://my.gov.sa/ar/services/538657",الجوازات,1. الدخول لمنصة أبشر;2. استعلامات الجوازات;3. صلاحية التأشيرة;4. إدخال رقم الإقامة ورقم التأشيرة.,توفر رقم الإقامة ورقم التأشيرة أو الجواز.,مجانية,https://my.gov.sa/ar/services/538657
استعلام عن حالة طلب تأشيرة,"اسم الخدمة: استعلام عن حالة طلب تأشيرة
القطاع: الجوازات
الفئة المستهدفة: أفراد
وصف الخدمة: متابعة طلبات تأشيرات السفر المقدمة مسبقاً ومعرفة حالتها (قيد المعالجة، تم الإصدار، مرفوض).
خطوات الخدمة: 1. الدخول لأبشر;2. استعلامات الجوازات;3. حالة طلب تأشيرة;4. إدخال رقم الطلب أو الهوية.
المستندات المطلوبة: وجود طلب تأشيرة قائم.
رسوم الخدمة: مجانية
الرابط الرسمي: https://my.gov.sa/ar/services/538636",الجوازات,1. الدخول لأبشر;2. استعلامات الجوازات;3. حالة طلب تأشيرة;4. إدخال رقم الطلب أو الهوية.,وجود طلب تأشيرة قائم.,مجانية,https://my.gov.sa/ar/services/538636
الاستعلام عن البلاغات,"اسم الخدمة: الاستعلام عن البلاغات
القطاع: الأمن العام
الفئة المستهدفة: أفراد
وصف الخدمة: تمكن المستفيد من معرفة حالة البلاغات الأمنية أو الجنائية التي قدمها عبر مراكز الشرطة أو تطبيق كلنا أمن.
خطوات الخدمة: 1. الدخول لأبشر;2. اختيار خدماتي;3. الأمن العام;4. استعلام عن البلاغات.
المستندات المطلوبة: توفر حساب أبشر مفعل، وجود بلاغ مسجل سابقاً.
رسوم الخدمة: مجانية",الأمن العام,1. الدخول لأبشر;2. اختيار خدماتي;3. الأمن العام;4. استعلام عن البلاغات.,توفر حساب أبشر مفعل، وجود بلاغ مسجل سابقاً.,مجانية,https://my.gov.sa/ar/services/538613
الاستعلام عن البلاغات,"رسوم الخدمة: مجانية
الرابط الرسمي: https://my.gov.sa/ar/services/538613",الأمن العام,1. الدخول لأبشر;2. اختيار خدماتي;3. الأمن العام;4. استعلام عن البلاغات.,توفر حساب أبشر مفعل، وجود بلاغ مسجل سابقاً.,مجانية,https://my.gov.sa/ar/services/538613
استعلام عن حوادث المركبات,"اسم الخدمة: استعلام عن حوادث المركبات
القطاع: المرور
الفئة المستهدفة: أفراد
وصف الخدمة: استعراض سجل الحوادث المرورية المسجلة على المركبة أو الهوية الوطنية بوزارة الداخلية.
خطوات الخدمة: 1. الدخول لأبشر;2. استعلامات المرور;3. حوادث المركبات;4. عرض تفاصيل الحادث والموقع.
المستندات المطلوبة: رقم الهوية أو الرقم التسلسلي للمركبة.
رسوم الخدمة: مجانية
الرابط الرسمي: https://my.gov.sa/ar/services/538616",المرور,1. الدخول لأبشر;2. استعلامات المرور;3. حوادث المركبات;4. عرض تفاصيل الحادث والموقع.,رقم الهوية أو الرقم التسلسلي للمركبة.,مجانية,https://my.gov.sa/ar/services/538616
