chunk_id,service_id,chunk_title,chunk_text,chunk_type,language,meta
1_desc,1,الوصف,الهدف من الخدمة: تمكين الأفراد المسجلين في بوابة أبشر من حجز موعد لدى المديرية العامة للجوازات.,description,ar,
1_conditions,1,الشروط,,conditions,ar,
1_fees,1,الرسوم,,fees,ar,
1_access,1,طريقة الوصول,مواعيد > الجوازات > حجز موعد,access,ar,
2_desc,2,الوصف,الهدف من الخدمة: تمكين المواطنين المسجلين والمفعلين ببوابة أبشر من نقل خدمات العمالة المنزلية إلكترونياً.,description,ar,
2_conditions,2,الشروط,"الشروط:
عدم وجود مخالفة مرورية… (النص الكامل موجود لدى المستخدم)",conditions,ar,
2_fees,2,الرسوم,2000 ريال للمرة الأولى، 4000 ريال للمرة الثانية، 6000 ريال للمرة الثالثة.,fees,ar,
2_access,2,طريقة الوصول,خدمات العمالة > خدمات > نقل خدمات العمالة المنزلية,access,ar,
3_desc,3,الوصف,تمكين الأفراد من إصدار وإلغاء تصاريح السفر لأحد أفراد الأسرة بشكل إلكتروني.,description,ar,
3_conditions,3,الشروط,الشروط: النص الكامل كما ورد.,conditions,ar,
3_fees,3,الرسوم,,fees,ar,
3_access,3,طريقة الوصول,خدمات أفراد الأسرة > خدمات > تصاريح السفر لأفراد الأسرة,access,ar,
4_desc,4,الوصف,تمكين المستخدم من تفويض من يرغب لاستقبال العاملة القادمة للعمل.,description,ar,
4_conditions,4,الشروط,يمكن استقبال القادمات للعمل من مطارات محددة.,conditions,ar,
4_fees,4,الرسوم,,fees,ar,
4_access,4,طريقة الوصول,التفويض > تفويض استقبال القادمات للعمل,access,ar,
5_desc,5,الوصف,تمكين المواطن من تجديد جواز السفر له أو أحد أفراد الأسرة السعوديين بشكل إلكتروني.,description,ar,
5_conditions,5,الشروط,شروط الخدمة كما وردت بالتفصيل.,conditions,ar,
5_fees,5,الرسوم,300 ريال لمدة 5 سنوات، 600 ريال لمدة 10 سنوات.,fees,ar,
5_access,5,طريقة الوصول,خدماتي > خدمات > الجوازات > تجديد جواز السفر السعودي,access,ar,
6_desc,6,الوصف,تمكين الأفراد من تحديث معلومات جوازات أفراد الأسرة أو العمالة إلكترونياً.,description,ar,
6_conditions,6,الشروط,شروط الخدمة كما وردت بالتفصيل.,conditions,ar,
6_fees,6,الرسوم,,fees,ar,
6_access,6,طريقة الوصول,خدمات العمالة > خدمات > تحديث معلومات جواز سفر,access,ar,
7_desc,7,الوصف,إصدار جواز السفر السعودي لأفراد الأسرة دون 15 سنة وليس لديهم بصمة.,description,ar,
7_conditions,7,الشروط,شروط الخدمة كما وردت.,conditions,ar,
7_fees,7,الرسوم,300 ريال لمدة خمس سنوات.,fees,ar,
7_access,7,طريقة الوصول,خدمات أفراد الأسرة > خدمات > إصدار الجواز لمن هم أقل من 15 سنة,access,ar,
8_desc,8,الوصف,تمكين الأفراد من التبليغ عن تغيب العمالة المنزلية عن العمل.,description,ar,
8_conditions,8,الشروط,الشروط كما وردت.,conditions,ar,
8_fees,8,الرسوم,,fees,ar,
8_access,8,طريقة الوصول,خدمات العمالة > خدمات > تبليغ تغيب عن العمل للعمالة المنزلية,access,ar,
9_desc,9,الوصف,تجديد جواز السفر السعودي لمن هم دون 15 عاماً إلكترونياً.,description,ar,
9_conditions,9,الشروط,الشروط كما وردت.,conditions,ar,
9_fees,9,الرسوم,300 ريال لمدة 5 سنوات.,fees,ar,
9_access,9,طريقة الوصول,خدمات أفراد الأسرة > خدمات > تجديد الجواز لمن هم أقل من 15 سنة وليس لديهم بصمة,access,ar,
10_desc,10,الوصف,تمكين المواطن أو ولي أمره من إصدار جواز السفر له أو أحد أفراد الأسرة.,description,ar,
10_conditions,10,الشروط,شروط الخدمة كما وردت.,conditions,ar,
10_fees,10,الرسوم,300 ريال (5 سنوات)، 600 ريال (10 سنوات).,fees,ar,
10_access,10,طريقة الوصول,خدماتي > خدمات > الجوازات > إصدار جواز السفر السعودي,access,ar,
11_desc,11,الوصف,تمكين المواطن والمقيم من تمديد تأشيرة الخروج والعودة لمن هم خارج المملكة.,description,ar,
11_conditions,11,الشروط,الشروط كما وردت.,conditions,ar,
11_fees,11,الرسوم,100 ريال للمفردة، 200 ريال للمتعددة.,fees,ar,
11_access,11,طريقة الوصول,خدمات العمالة > خدمات > التأشيرات,access,ar,
12_desc,12,الوصف,إصدار هوية مقيم لأفراد الأسرة أو العمالة المنزلية.,description,ar,
12_conditions,12,الشروط,الشروط كما وردت.,conditions,ar,
12_fees,12,الرسوم,600 ريال للعمالة المنزلية، 500 ريال لأفراد الأسرة.,fees,ar,
12_access,12,طريقة الوصول,خدمات العمالة > خدمات > إصدار الإقامة,access,ar,
13_desc,13,الوصف,تجديد هوية مقيم لأفراد الأسرة أو العمالة المنزلية.,description,ar,
13_conditions,13,الشروط,الشروط كما وردت.,conditions,ar,
13_fees,13,الرسوم,600 ريال للعمالة، 500 ريال لأفراد الأسرة.,fees,ar,
13_access,13,طريقة الوصول,خدمات العمالة > خدمات > تجديد الإقامة,access,ar,
14_desc,14,الوصف,إصدار تأشيرة خروج وعودة أو خروج نهائي.,description,ar,
14_conditions,14,الشروط,الشروط كما وردت.,conditions,ar,
14_fees,14,الرسوم,,fees,ar,
14_access,14,طريقة الوصول,خدمات العمالة > خدمات > التأشيرات,access,ar,
15_desc,15,الوصف,إلغاء التأشيرة المصدرة مسبقاً.,description,ar,
15_conditions,15,الشروط,الشروط كما وردت.,conditions,ar,
15_fees,15,الرسوم,,fees,ar,
15_access,15,طريقة الوصول,خدمات العمالة > خدمات > التأشيرات,access,ar,
16_desc,16,الوصف,إصدار تصريح لدخول مكة أثناء موسم الحج للعمالة المنزلية.,description,ar,
16_conditions,16,الشروط,يجب أن يكون التاريخ بين 1-12 و 20-12.,conditions,ar,
16_fees,16,الرسوم,,fees,ar,
16_access,16,طريقة الوصول,خدماتي > خدمات > الجوازات > تصريح دخول مكة,access,ar,
17_desc,17,الوصف,تمكين صاحب العمل من الاطلاع على بيانات العمالة المنزلية وطباعتها.,description,ar,
17_conditions,17,الشروط,صلاحية التقرير 30 يوماً.,conditions,ar,
17_fees,17,الرسوم,,fees,ar,
17_access,17,طريقة الوصول,خدماتي > خدمات > الجوازات > طلب تقرير مقيم,access,ar,
18_desc,18,الوصف,تمكين الأفراد من تقديم طلب للجوازات ومتابعته.,description,ar,
18_conditions,18,الشروط,رفع طلب واحد فقط حتى إنهاء القائم.,conditions,ar,
18_fees,18,الرسوم,,fees,ar,
18_access,18,طريقة الوصول,خدماتي > خدمات > الجوازات > تواصل,access,ar,
19_desc,19,الوصف,تحديد موافقة الوالدين على خدمات الجوازات لأفراد الأسرة دون 18 عاماً.,description,ar,
19_conditions,19,الشروط,شرح الشروط كما ورد.,conditions,ar,
19_fees,19,الرسوم,,fees,ar,
19_access,19,طريقة الوصول,خدماتي > خدمات > الجوازات > اشتراطات الوالدين,access,ar,
20A_desc,20A,الوصف,تعرض بيانات العمالة والزائرين خلال 3 أشهر.,description,ar,
20A_conditions,20A,الشروط,مدخلات الخدمة: رقم الهوية، سنة الميلاد، الرمز المرئي.,conditions,ar,
20A_fees,20A,الرسوم,,fees,ar,
20A_access,20A,طريقة الوصول,أبشر > الاستعلامات,access,ar,
20B_desc,20B,الوصف,التحقق من تسجيل البصمة.,description,ar,
20B_conditions,20B,الشروط,مدخلات: رقم الهوية/الإقامة، الرمز المرئي.,conditions,ar,
20B_fees,20B,الرسوم,,fees,ar,
20B_access,20B,طريقة الوصول,أبشر > الاستعلامات,access,ar,
20C_desc,20C,الوصف,عرض العمالة ذات تأشيرة الخروج والعودة.,description,ar,
20C_conditions,20C,الشروط,مدخلات: رقم الهوية، رقم الإقامة، تاريخ الانتهاء.,conditions,ar,
20C_fees,20C,الرسوم,,fees,ar,
20C_access,20C,طريقة الوصول,أبشر > الاستعلامات,access,ar,
20D_desc,20D,الوصف,التحقق من صلاحية التأمين الصحي.,description,ar,
20D_conditions,20D,الشروط,مدخلات: رقم الإقامة، الرمز المرئي.,conditions,ar,
20D_fees,20D,الرسوم,,fees,ar,
20D_access,20D,طريقة الوصول,أبشر > الاستعلامات,access,ar,
21_desc,21,الوصف,إصدار تأشيرة خروج نهائي خلال فترة التجربة.,description,ar,
21_conditions,21,الشروط,الشروط كما وردت.,conditions,ar,
21_fees,21,الرسوم,,fees,ar,
21_access,21,طريقة الوصول,خدمات العمالة > خدمات > إصدار تأشيرة خروج نهائي خلال فترة التجربة,access,ar,
22_desc,22,الوصف,تمديد تأشيرة الزيارة العائلية.,description,ar,
22_conditions,22,الشروط,الشروط كما وردت.,conditions,ar,
22_fees,22,الرسوم,100 ريال.,fees,ar,
22_access,22,طريقة الوصول,خدمات العمالة / خدمات أفراد الأسرة > تمديد تأشيرة الزيارة,access,ar,
23_desc,23,الوصف,مجموعة خدمات الاستعلامات كما وردت (أ–ز).,description,ar,
23_conditions,23,الشروط,الشروط ومدخلات كل استعلام كما وردت.,conditions,ar,
23_fees,23,الرسوم,,fees,ar,
23_access,23,طريقة الوصول,أبشر > الاستعلامات,access,ar,
